epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
64,57266.3,0.97549,1.36966,0.82452,1.00701,0.87601,0.85266,0.93433,0.70316,0.87608,0.85321,0.92743,0.63247,0.89532,1.16168,0.74435,0.95684,0.003763,0.003763,0.003763
65,57352.7,0.97252,1.33432,0.82352,0.99728,0.88432,0.84942,0.9392,0.70983,0.88838,0.85384,0.93817,0.63461,0.88171,1.1931,0.7371,0.94769,0.003664,0.003664,0.003664
66,57440.4,0.93056,1.25593,0.80153,0.97816,0.84428,0.84128,0.92102,0.69513,0.84043,0.83745,0.91514,0.6233,0.85726,1.17206,0.75924,0.93672,0.003565,0.003565,0.003565
67,57529.2,0.93735,1.2391,0.84629,0.99797,0.84665,0.79119,0.88557,0.65347,0.85437,0.77549,0.87864,0.58878,0.93049,1.20912,0.83238,0.97102,0.003466,0.003466,0.003466
68,57615.9,0.93088,1.23882,0.79288,1.00248,0.84214,0.8278,0.91878,0.69021,0.85113,0.82145,0.91477,0.64255,0.90498,1.11699,0.74271,0.95393,0.003367,0.003367,0.003367
69,57703.8,0.95332,1.29549,0.77851,0.99013,0.83998,0.86207,0.92794,0.7019,0.83937,0.86092,0.92218,0.65529,0.89966,1.10359,0.71449,0.9494,0.003268,0.003268,0.003268
70,57789,0.85765,1.1335,0.73842,0.97073,0.87642,0.87165,0.94563,0.74255,0.87257,0.86782,0.93638,0.66226,0.80149,1.02152,0.66813,0.91892,0.003169,0.003169,0.003169
71,57875.5,0.89767,1.19418,0.74366,0.97594,0.84817,0.89272,0.94791,0.75049,0.85351,0.87931,0.94593,0.65296,0.79643,0.99255,0.65928,0.91759,0.00307,0.00307,0.00307
72,57963.4,0.86741,1.21317,0.70317,0.95902,0.86732,0.84291,0.93658,0.71716,0.86929,0.84483,0.93159,0.64208,0.86185,1.07408,0.6944,0.93351,0.002971,0.002971,0.002971
73,58052.4,0.90983,1.23127,0.73254,0.96612,0.84269,0.87227,0.93853,0.72154,0.84078,0.87,0.93547,0.64791,0.86736,1.05978,0.70374,0.93555,0.002872,0.002872,0.002872
74,58143,0.94579,1.3044,0.79799,0.97094,0.90175,0.86159,0.95516,0.75854,0.89658,0.85632,0.9478,0.65543,0.81189,0.99979,0.66393,0.92111,0.002773,0.002773,0.002773
75,58230.9,0.88517,1.15678,0.72277,0.95349,0.89394,0.89847,0.96205,0.76865,0.8854,0.88802,0.95221,0.65522,0.8094,0.98529,0.65784,0.91765,0.002674,0.002674,0.002674
76,58318,0.88535,1.21216,0.75579,1.00332,0.90876,0.86782,0.95678,0.7609,0.90766,0.86398,0.95498,0.66853,0.79155,0.984,0.66601,0.91613,0.002575,0.002575,0.002575
77,58406.3,0.88534,1.18145,0.72384,0.97355,0.90762,0.86207,0.95569,0.75608,0.90905,0.86169,0.95511,0.67466,0.80387,0.97979,0.65291,0.91909,0.002476,0.002476,0.002476
78,58493.2,0.84996,1.15651,0.71778,0.96747,0.87528,0.90081,0.95737,0.76125,0.89923,0.88898,0.95558,0.68178,0.80978,0.97851,0.64594,0.91674,0.002377,0.002377,0.002377
79,58581.1,0.85158,1.18146,0.73022,0.96488,0.92406,0.86249,0.96043,0.77278,0.92202,0.86073,0.95204,0.6755,0.76339,0.95879,0.62778,0.90346,0.002278,0.002278,0.002278
80,58669.1,0.88522,1.19882,0.72258,0.94716,0.89995,0.89464,0.96156,0.77827,0.89636,0.88889,0.9534,0.67143,0.75075,0.9626,0.61885,0.89828,0.002179,0.002179,0.002179
81,58756.5,0.83634,1.1365,0.69927,0.95451,0.88296,0.91045,0.95919,0.77949,0.87692,0.90613,0.95071,0.66949,0.74513,0.97222,0.62643,0.89654,0.00208,0.00208,0.00208
82,58844.5,0.8837,1.14999,0.72128,0.94705,0.86617,0.90509,0.9539,0.77038,0.86433,0.90317,0.94848,0.6732,0.74565,0.96573,0.64328,0.89334,0.001981,0.001981,0.001981
83,58932,0.83926,1.16352,0.71321,0.9451,0.90335,0.88314,0.95813,0.78082,0.90139,0.88123,0.95667,0.68807,0.72716,0.9672,0.62524,0.8884,0.001882,0.001882,0.001882
84,83844.8,0.81647,1.08227,0.66157,0.94562,0.92331,0.88314,0.96265,0.78768,0.92097,0.87739,0.95826,0.68524,0.71973,0.96216,0.59936,0.88983,0.001783,0.001783,0.001783
85,83929.8,0.76009,1.0191,0.63636,0.934,0.92586,0.88511,0.96247,0.78943,0.92909,0.87847,0.95694,0.68774,0.70961,0.94273,0.59494,0.8878,0.001684,0.001684,0.001684
86,84016.5,0.80398,1.08259,0.68552,0.94688,0.91232,0.89272,0.96341,0.79526,0.91334,0.88837,0.95871,0.69819,0.69464,0.89934,0.58106,0.88486,0.001585,0.001585,0.001585
87,84103.3,0.75484,1.05927,0.62547,0.95171,0.91112,0.88377,0.96423,0.79571,0.91124,0.88505,0.96306,0.687,0.69068,0.89918,0.59893,0.88439,0.001486,0.001486,0.001486
88,84195.9,0.79411,1.11933,0.65802,0.93814,0.88311,0.90996,0.96059,0.78246,0.87939,0.90613,0.95642,0.66495,0.71145,0.94851,0.62368,0.88946,0.001387,0.001387,0.001387
89,84287.7,0.75624,1.05198,0.63761,0.90962,0.87975,0.91103,0.96087,0.78643,0.87592,0.90611,0.95709,0.66693,0.70698,0.94308,0.61052,0.88719,0.001288,0.001288,0.001288
90,84376.2,0.77077,1.05919,0.65595,0.95194,0.913,0.92477,0.97113,0.80224,0.90952,0.92432,0.96693,0.70261,0.6752,0.90018,0.57265,0.87525,0.001189,0.001189,0.001189
91,84465.1,0.80205,1.14366,0.75399,0.93461,0.92617,0.91324,0.97364,0.81194,0.92423,0.91132,0.97182,0.70611,0.67075,0.90559,0.56626,0.87088,0.00109,0.00109,0.00109
92,84551.3,0.77106,1.15442,0.74962,0.9287,0.91324,0.91571,0.97203,0.8066,0.90942,0.91188,0.96638,0.69125,0.67501,0.9374,0.58728,0.86938,0.000991,0.000991,0.000991
93,84637.7,0.78704,1.09612,0.6915,0.93973,0.92274,0.89234,0.97167,0.80448,0.92375,0.88197,0.96472,0.68656,0.67753,0.93957,0.60717,0.87015,0.000892,0.000892,0.000892
94,84730.3,0.77628,1.08605,0.69956,0.92251,0.90146,0.91131,0.97044,0.80512,0.90191,0.8908,0.96228,0.68412,0.67218,0.93189,0.60746,0.87062,0.000793,0.000793,0.000793
95,84824.4,0.73418,1.05286,0.6645,0.91514,0.90203,0.91716,0.96898,0.80778,0.9001,0.9148,0.96774,0.69733,0.65688,0.91737,0.57101,0.86744,0.000694,0.000694,0.000694
96,84911.7,0.71957,1.01223,0.62679,0.89816,0.91681,0.90782,0.96876,0.8114,0.91874,0.90974,0.96787,0.70781,0.65206,0.89407,0.54052,0.86546,0.000595,0.000595,0.000595
97,84998.7,0.72208,1.0973,0.6292,0.91277,0.91462,0.90295,0.96925,0.81437,0.9202,0.90569,0.96604,0.71319,0.64672,0.87675,0.53726,0.86414,0.000496,0.000496,0.000496
98,85086.1,0.76175,1.12248,0.64122,0.91686,0.91602,0.89855,0.97067,0.82136,0.91842,0.90038,0.9674,0.71862,0.64318,0.85323,0.53998,0.86321,0.000397,0.000397,0.000397
99,85173.2,0.74296,1.05158,0.62744,0.91922,0.92008,0.90418,0.97284,0.82414,0.92008,0.90418,0.97122,0.71905,0.64274,0.84589,0.53625,0.86233,0.000298,0.000298,0.000298
100,85261.3,0.74935,1.01312,0.61494,0.91287,0.92287,0.90996,0.97434,0.82472,0.92205,0.90645,0.96998,0.71871,0.64382,0.84531,0.53268,0.86181,0.000199,0.000199,0.000199
